path,change_type,key,value,source_value,target_value,source_type,target_type,source_length,target_length
data[150].mobile,value_change,,,9503324273,8788875876,,,,
data[150].coords[0],value_change,,,19.1795101000,18.6762217000,,,,
data[150].coords[1],value_change,,,74.0968686000,73.9009431000,,,,
data[150].address.pincode,value_change,,,412411,412105,,,,
data[150].address.line1,value_change,,,"H.NO: 2981, PRABHU UPAHAR","H.NO: 426 NEW 1160, PARASNATH BHAVAN",,,,
data[150].address.line3,value_change,,,TAL: JUNNER,"ALANDI- MARKAL ROAD, TAL: KHED",,,,
data[150].address.line2,value_change,,,"BEHIND SOUBHADRA HALL, NAGAR ROAD",ALANDI DEWACHI,,,,
data[150].address.city,value_change,,,ALEPHATA (ALA),ALANDI,,,,
data[150].contact,value_change,,,02132- 262101,,,,,
data[150].name,value_change,,,ALEPHATA (ALA),ALANDI,,,,
data[150].branch_code,value_change,,,01895,02258,,,,
data[151].section,value_change,,,00645,00834,,,,
data[151].email,value_change,,,,alappuzha@bkivv.org,,,,
data[151].mobile,value_change,,,9423781862,"8921066795, 9995868033",,,,
data[151].coords[0],value_change,,,18.6468830000,76.3447386000,,,,
data[151].coords[1],value_change,,,72.8728870000,9.4789514000,,,,
data[151].state_id,value_change,,,12,10,,,,
data[151].state,value_change,,,MAHARASHTRA,KERALA,,,,
data[151].address.pincode,value_change,,,402201,688009,,,,
data[151].address.line1,value_change,,,"FLAT NO: C-2, SOMESHWAR VAIBHAV APARTMENT","H.NO: 12/692, HARMONY HOUSE",,,,
data[151].address.line3,value_change,,,NAIKWADI,BRAHMA KUMARIS ROAD,,,,
data[151].address.line2,value_change,,,"1ST FLOOR, C-WING, BRAHMAN ALI",PAZHAVEEDU POST OFFICE,,,,
data[151].address.city,value_change,,,ALIBAG,ALAPPUZHA,,,,
data[151].district_id,value_change,,,273,519,,,,
data[151].sub_zone,value_change,,,MMU,KERALA,,,,
data[151].district,value_change,,,Raigad,Alappuzha,,,,
data[151].zone,value_change,,,MAHARASTRA,TAMILNADU,,,,
data[151].contact,value_change,,,02141- 223017,,,,,
data[151].name,value_change,,,ALIBAG,ALAPPUZHA,,,,
data[151].branch_code,value_change,,,02145,00834,,,,
data[152].section,value_change,,,00891,01424,,,,
data[152].email,value_change,,,,alephata@bkivv.org,,,,
data[152].mobile,value_change,,,"9410881975, 8279879078",9503324273,,,,
data[152].coords[0],value_change,,,27.4964294000,19.1795101000,,,,
data[152].coords[1],value_change,,,79.1709063000,74.0968686000,,,,
data[152].state_id,value_change,,,23,12,,,,
data[152].state,value_change,,,UTTAR PRADESH,MAHARASHTRA,,,,
data[152].address.pincode,value_change,,,207247,412411,,,,
data[152].address.line1,value_change,,,"SHIV SHAKTI BHAWAN, H.NO: 160","H.NO: 2981, PRABHU UPAHAR",,,,
data[152].address.line3,value_change,,,BEHIND TEHSIL,TAL: JUNNER,,,,
data[152].address.line2,value_change,,,MOHALLA GOVIND DAS,"BEHIND SOUBHADRA HALL, NAGAR ROAD",,,,
data[152].address.city,value_change,,,ALIGANJ,ALEPHATA (ALA),,,,
data[152].district_id,value_change,,,1131,260,,,,
data[152].sub_zone,value_change,,,UKG,MPO,,,,
data[152].district,value_change,,,Etah,Pune,,,,
data[152].zone,value_change,,,UTTAR PRADESH,MAHARASTRA,,,,
data[152].contact,value_change,,,,02132- 262101,,,,
data[152].name,value_change,,,ALIGANJ,ALEPHATA (ALA),,,,
data[152].branch_code,value_change,,,01912,01895,,,,
data[153].section,value_change,,,02098,00645,,,,
data[153].mobile,value_change,,,9761820241,9423781862,,,,
data[153].coords[0],value_change,,,27.8621975000,18.6468830000,,,,
data[153].coords[1],value_change,,,78.0770550000,72.8728870000,,,,
data[153].state_id,value_change,,,23,12,,,,
data[153].state,value_change,,,UTTAR PRADESH,MAHARASHTRA,,,,
data[153].address.pincode,value_change,,,202001,402201,,,,
data[153].address.line1,value_change,,,"H NO:19/154, SHIV SHAKTI DHAM","FLAT NO: C-2, SOMESHWAR VAIBHAV APARTMENT",,,,
data[153].address.line3,value_change,,,BEHIND RATHI HOSPITAL,NAIKWADI,,,,
data[153].address.line2,value_change,,,"AGRA ROAD, SHANTI PURAM COLONY","1ST FLOOR, C-WING, BRAHMAN ALI",,,,
data[153].address.city,value_change,,,ALIGARH,ALIBAG,,,,
data[153].district_id,value_change,,,524,273,,,,
data[153].sub_zone,value_change,,,DELHI SUB ZONE,MMU,,,,
data[153].district,value_change,,,Aligarh,Raigad,,,,
data[153].zone,value_change,,,DELHI,MAHARASTRA,,,,
data[153].contact,value_change,,,,02141- 223017,,,,
data[153].name,value_change,,,ALIGARH SASNI GATE,ALIBAG,,,,
data[153].branch_code,value_change,,,03937,02145,,,,
data[154].section,value_change,,,00030,00891,,,,
data[154].mobile,value_change,,,6378133006,"9410881975, 8279879078",,,,
data[154].coords[0],value_change,,,27.8895000000,27.4964294000,,,,
data[154].coords[1],value_change,,,78.0915570000,79.1709063000,,,,
data[154].address.pincode,value_change,,,202001,207247,,,,
data[154].address.line1,value_change,,,"L-1 BLOCK, PARMATAM ANUBHUTI BHAVAN","SHIV SHAKTI BHAWAN, H.NO: 160",,,,
data[154].address.line3,value_change,,,GYAN SAROVAR COLONY,BEHIND TEHSIL,,,,
data[154].address.line2,value_change,,,NEAR JYOTI TENT HOUSE,MOHALLA GOVIND DAS,,,,
data[154].address.city,value_change,,,ALIGARH,ALIGANJ,,,,
data[154].district_id,value_change,,,524,1131,,,,
data[154].sub_zone,value_change,,,AGRA,UKG,,,,
data[154].district,value_change,,,Aligarh,Etah,,,,
data[154].zone,value_change,,,DELHI,UTTAR PRADESH,,,,
data[154].name,value_change,,,ALIGARH GYAN SAROVAR COLONY,ALIGANJ,,,,
data[154].branch_code,value_change,,,03892,01912,,,,
data[155].section,value_change,,,00030,02098,,,,
data[155].email,value_change,,,vishnupuri.alg@bkivv.org,,,,,
data[155].mobile,value_change,,,8077954686,9761820241,,,,
data[155].coords[0],value_change,,,27.8856795000,27.8621975000,,,,
data[155].coords[1],value_change,,,78.0809141000,78.0770550000,,,,
data[155].address.line1,value_change,,,OM SHANTI BHAWAN,"H NO:19/154, SHIV SHAKTI DHAM",,,,
data[155].address.line3,value_change,,,VISHNU PURI,BEHIND RATHI HOSPITAL,,,,
data[155].address.line2,value_change,,,"2/272A, VIDYA MARG","AGRA ROAD, SHANTI PURAM COLONY",,,,
data[155].sub_zone,value_change,,,AGRA,DELHI SUB ZONE,,,,
data[155].name,value_change,,,ALIGARH VISHNU PURI,ALIGARH SASNI GATE,,,,
data[155].branch_code,value_change,,,00030,03937,,,,
data[156].section,value_change,,,02098,00030,,,,
data[156].email,value_change,,,raghuvirpuri.alg@bkivv.org,,,,,
data[156].mobile,value_change,,,"9411465229, 7351939899, 8057676789",6378133006,,,,
data[156].coords[0],value_change,,,27.8931608000,27.8895000000,,,,
data[156].coords[1],value_change,,,78.0652278000,78.0915570000,,,,
data[156].address.line1,value_change,,,"SHIV BABA DHAM, H.NO: 8/212","L-1 BLOCK, PARMATAM ANUBHUTI BHAVAN",,,,
data[156].address.line3,value_change,,,RAGHUVIR PURI,GYAN SAROVAR COLONY,,,,
data[156].address.line2,value_change,,,BAGICHIWALI GALI,NEAR JYOTI TENT HOUSE,,,,
data[156].sub_zone,value_change,,,DELHI SUB ZONE,AGRA,,,,
data[156].contact,value_change,,,0571- 2510227,,,,,
data[156].name,value_change,,,ALIGARH RAGHUVIR PURI,ALIGARH GYAN SAROVAR COLONY,,,,
data[156].branch_code,value_change,,,02098,03892,,,,
data[157].section,value_change,,,01676,00030,,,,
data[157].email,value_change,,,,vishnupuri.alg@bkivv.org,,,,
data[157].mobile,value_change,,,9735996301,8077954686,,,,
data[157].coords[0],value_change,,,26.5055329000,27.8856795000,,,,
data[157].coords[1],value_change,,,89.5225628000,78.0809141000,,,,
data[157].state_id,value_change,,,24,23,,,,
data[157].state,value_change,,,WEST BENGAL,UTTAR PRADESH,,,,
data[157].address.pincode,value_change,,,736122,202001,,,,
data[157].address.line1,value_change,,,H.NO:2,OM SHANTI BHAWAN,,,,
data[157].address.line3,value_change,,,P+V- GHAGRA (HARTAKITALA),VISHNU PURI,,,,
data[157].address.line2,value_change,,,ARBINDO NAGAR,"2/272A, VIDYA MARG",,,,
data[157].address.city,value_change,,,ALIPURDUAR,ALIGARH,,,,
data[157].district_id,value_change,,,526,524,,,,
data[157].sub_zone,value_change,,,EBE,AGRA,,,,
data[157].district,value_change,,,Alipurduar,Aligarh,,,,
data[157].zone,value_change,,,EASTERN,DELHI,,,,
data[157].name,value_change,,,ALIPURDUAR COURT,ALIGARH VISHNU PURI,,,,
data[157].branch_code,value_change,,,01676,00030,,,,
data[158].section,value_change,,,02276,02098,,,,
data[158].email,value_change,,,alirajpur@bkivv.org,raghuvirpuri.alg@bkivv.org,,,,
data[158].mobile,value_change,,,"8720045931,7389076130","9411465229, 7351939899, 8057676789",,,,
data[158].coords[0],value_change,,,22.3158230000,27.8931608000,,,,
data[158].coords[1],value_change,,,74.3312230000,78.0652278000,,,,
data[158].state_id,value_change,,,11,23,,,,
data[158].state,value_change,,,MADHYA PRADESH,UTTAR PRADESH,,,,
data[158].address.pincode,value_change,,,457887,202001,,,,
data[158].address.line1,value_change,,,KHASRA NO: 369,"SHIV BABA DHAM, H.NO: 8/212",,,,
data[158].address.line3,value_change,,,CHANDPUR ROAD (BARODA HIGHWAY),RAGHUVIR PURI,,,,
data[158].address.line2,value_change,,,DEEPA KI CHOKI,BAGICHIWALI GALI,,,,
data[158].address.city,value_change,,,ALIRAJPUR,ALIGARH,,,,
data[158].district_id,value_change,,,527,524,,,,
data[158].sub_zone,value_change,,,IAB,DELHI SUB ZONE,,,,
data[158].district,value_change,,,Alirajpur,Aligarh,,,,
data[158].zone,value_change,,,INDORE,DELHI,,,,
data[158].contact,value_change,,,,0571- 2510227,,,,
data[158].name,value_change,,,ALIRAJPUR,ALIGARH RAGHUVIR PURI,,,,
data[158].branch_code,value_change,,,02276,02098,,,,
data[159].section,value_change,,,01654,01676,,,,
data[159].email,value_change,,,allagadda@bkivv.org,,,,,
data[159].mobile,value_change,,,"9440892640, 6302372983",9735996301,,,,
data[159].coords[0],value_change,,,15.1339383000,26.5055329000,,,,
data[159].coords[1],value_change,,,78.5130211000,89.5225628000,,,,
data[159].state_id,value_change,,,1,24,,,,
data[159].state,value_change,,,ANDHRA PRADESH,WEST BENGAL,,,,
data[159].address.pincode,value_change,,,518543,736122,,,,
data[159].address.line1,value_change,,,H.NO: 3-7-40,H.NO:2,,,,
data[159].address.line3,value_change,,,RAMALAYA STREET,P+V- GHAGRA (HARTAKITALA),,,,
data[159].address.line2,value_change,,,VISHWAKALYANAKARI BHAWAN,ARBINDO NAGAR,,,,
data[159].address.city,value_change,,,ALLAGADDA,ALIPURDUAR,,,,
data[159].district_id,value_change,,,4,526,,,,
data[159].sub_zone,value_change,,,KTV,EBE,,,,
data[159].district,value_change,,,Kurnool,Alipurduar,,,,
data[159].zone,value_change,,,KARNATAKA BENGALURU VV PURAM,EASTERN,,,,
data[159].contact,value_change,,,08519- 222101,,,,,
data[159].name,value_change,,,ALLAGADDA,ALIPURDUAR COURT,,,,
data[159].branch_code,value_change,,,02128,01676,,,,
data[160].section,value_change,,,01654,02276,,,,
data[160].email,value_change,,,,alirajpur@bkivv.org,,,,
data[160].mobile,value_change,,,8121102073,"8720045931,7389076130",,,,
data[160].coords[0],value_change,,,14.6898616100,22.3158230000,,,,
data[160].coords[1],value_change,,,80.0547235800,74.3312230000,,,,
data[160].state_id,value_change,,,1,11,,,,
data[160].state,value_change,,,ANDHRA PRADESH,MADHYA PRADESH,,,,
data[160].address.pincode,value_change,,,524315,457887,,,,
data[160].address.line1,value_change,,,"SY NO: 872/4, VISHWA KALYANI BHAWAN",KHASRA NO: 369,,,,
data[160].address.line3,value_change,,,,CHANDPUR ROAD (BARODA HIGHWAY),,,,
data[160].address.line2,value_change,,,ALLUR MAIN ROAD,DEEPA KI CHOKI,,,,
data[160].address.city,value_change,,,ALLUR,ALIRAJPUR,,,,
data[160].district_id,value_change,,,1,527,,,,
data[160].sub_zone,value_change,,,KTV,IAB,,,,
data[160].district,value_change,,,Nellore,Alirajpur,,,,
data[160].zone,value_change,,,KARNATAKA BENGALURU VV PURAM,INDORE,,,,
data[160].name,value_change,,,ALLUR (NELLORE),ALIRAJPUR,,,,
data[160].branch_code,value_change,,,01267,02276,,,,
data[161].section,value_change,,,00381,01654,,,,
data[161].email,value_change,,,almel@bkivv.org,allagadda@bkivv.org,,,,
data[161].mobile,value_change,,,7795841516,"9440892640, 6302372983",,,,
data[161].coords[0],value_change,,,17.0953066000,15.1339383000,,,,
data[161].coords[1],value_change,,,76.2202192000,78.5130211000,,,,
data[161].state_id,value_change,,,9,1,,,,
data[161].state,value_change,,,KARNATAKA,ANDHRA PRADESH,,,,
data[161].address.pincode,value_change,,,586202,518543,,,,
data[161].address.line1,value_change,,,"H NO:1207/2, DIVYA PRAKASH BHAWAN",H.NO: 3-7-40,,,,
data[161].address.line3,value_change,,,TAL: SINDAGI,RAMALAYA STREET,,,,
data[161].address.line2,value_change,,,LAXMI CHOWK DESHMUKH WADE,VISHWAKALYANAKARI BHAWAN,,,,
data[161].address.city,value_change,,,ALMEL,ALLAGADDA,,,,
data[161].district_id,value_change,,,172,4,,,,
data[161].sub_zone,value_change,,,KTB,KTV,,,,
data[161].district,value_change,,,VIJAYAPURA,Kurnool,,,,
data[161].zone,value_change,,,KARNATAKA BELAGAVI,KARNATAKA BENGALURU VV PURAM,,,,
data[161].contact,value_change,,,,08519- 222101,,,,
data[161].name,value_change,,,ALMEL,ALLAGADDA,,,,
data[161].branch_code,value_change,,,01157,02128,,,,
data[162].section,value_change,,,01764,01654,,,,
data[162].mobile,value_change,,,7906160412,8121102073,,,,
data[162].coords[0],value_change,,,29.5955182000,14.6898616100,,,,
data[162].coords[1],value_change,,,79.6563243000,80.0547235800,,,,
data[162].state_id,value_change,,,33,1,,,,
data[162].state,value_change,,,UTTARAKHAND,ANDHRA PRADESH,,,,
data[162].address.pincode,value_change,,,263601,524315,,,,
data[162].address.line1,value_change,,,KHET NO: 2030,"SY NO: 872/4, VISHWA KALYANI BHAWAN",,,,
data[162].address.line3,value_change,,,SAILA KHOLA,,,,,
data[162].address.line2,value_change,,,KHAZANCHI MOHALLA,ALLUR MAIN ROAD,,,,
data[162].address.city,value_change,,,ALMORA,ALLUR,,,,
data[162].district_id,value_change,,,530,1,,,,
data[162].sub_zone,value_change,,,AGRA,KTV,,,,
data[162].district,value_change,,,Almora,Nellore,,,,
data[162].zone,value_change,,,DELHI,KARNATAKA BENGALURU VV PURAM,,,,
data[162].name,value_change,,,ALMORA,ALLUR (NELLORE),,,,
data[162].branch_code,value_change,,,01767,01267,,,,
data[163].section,value_change,,,01709,00381,,,,
data[163].email,value_change,,,,almel@bkivv.org,,,,
data[163].mobile,value_change,,,9844165574,7795841516,,,,
data[163].coords[0],value_change,,,15.4314201000,17.0953066000,,,,
data[163].coords[1],value_change,,,74.7369509000,76.2202192000,,,,
data[163].address.pincode,value_change,,,581103,586202,,,,
data[163].address.line1,value_change,,,INDIRA NAGAR,"H NO:1207/2, DIVYA PRAKASH BHAWAN",,,,
data[163].address.line3,value_change,,,,TAL: SINDAGI,,,,
data[163].address.line2,value_change,,,,LAXMI CHOWK DESHMUKH WADE,,,,
data[163].address.city,value_change,,,ALNAVAR,ALMEL,,,,
data[163].district_id,value_change,,,178,172,,,,
data[163].sub_zone,value_change,,,KTH,KTB,,,,
data[163].district,value_change,,,Dharwad,VIJAYAPURA,,,,
data[163].zone,value_change,,,KARNATAKA HUBBALLI,KARNATAKA BELAGAVI,,,,
data[163].contact,value_change,,,0836- 2385555,,,,,
data[163].name,value_change,,,ALNAVAR,ALMEL,,,,
data[163].branch_code,value_change,,,01709,01157,,,,
data[164].section,value_change,,,00349,01764,,,,
data[164].mobile,value_change,,,"7725849321, 6266873187",7906160412,,,,
data[164].coords[0],value_change,,,23.7677500000,29.5955182000,,,,
data[164].coords[1],value_change,,,75.5468610000,79.6563243000,,,,
data[164].state_id,value_change,,,11,33,,,,
data[164].state,value_change,,,MADHYA PRADESH,UTTARAKHAND,,,,
data[164].address.pincode,value_change,,,457114,263601,,,,
data[164].address.line1,value_change,,,"H NO: 3, STATION ROAD",KHET NO: 2030,,,,
data[164].address.line3,value_change,,,SHREENATH COLONY,SAILA KHOLA,,,,
data[164].address.line2,value_change,,,BEHIND AMBIKA AUTO PARTS,KHAZANCHI MOHALLA,,,,
data[164].address.city,value_change,,,ALOT,ALMORA,,,,
data[164].district_id,value_change,,,219,530,,,,
data[164].sub_zone,value_change,,,IOP,AGRA,,,,
data[164].district,value_change,,,Ratlam,Almora,,,,
data[164].zone,value_change,,,INDORE,DELHI,,,,
data[164].name,value_change,,,ALOT SHREENATH COLONY,ALMORA,,,,
data[164].branch_code,value_change,,,05631,01767,,,,
data[165].section,value_change,,,00470,01709,,,,
data[165].mobile,value_change,,,9739552973,9844165574,,,,
data[165].coords[0],value_change,,,12.9772728000,15.4314201000,,,,
data[165].coords[1],value_change,,,75.9932809000,74.7369509000,,,,
data[165].address.pincode,value_change,,,573213,581103,,,,
data[165].address.line1,value_change,,,"H NO: 297, SHIV JYOTHI BHAWAN",INDIRA NAGAR,,,,
data[165].address.line3,value_change,,,"BEHIND OLD COURT CIRCLE RD, RAJAPPA EXTENTION",,,,,
data[165].address.line2,value_change,,,NEAR KANNADA SAHITHYA PARISHAT BHAWAN,,,,,
data[165].address.city,value_change,,,ALUR,ALNAVAR,,,,
data[165].district_id,value_change,,,177,178,,,,
data[165].sub_zone,value_change,,,KTM,KTH,,,,
data[165].district,value_change,,,Hassan,Dharwad,,,,
data[165].zone,value_change,,,KARNATAKA MYSURU,KARNATAKA HUBBALLI,,,,
data[165].contact,value_change,,,08170-218100,0836- 2385555,,,,
data[165].name,value_change,,,ALUR,ALNAVAR,,,,
data[165].branch_code,value_change,,,04031,01709,,,,
data[166].section,value_change,,,01808,00349,,,,
data[166].mobile,value_change,,,"9491450809, 9491459583","7725849321, 6266873187",,,,
data[166].coords[0],value_change,,,15.3924356000,23.7677500000,,,,
data[166].coords[1],value_change,,,77.2264907000,75.5468610000,,,,
data[166].state_id,value_change,,,1,11,,,,
data[166].state,value_change,,,ANDHRA PRADESH,MADHYA PRADESH,,,,
data[166].address.pincode,value_change,,,518395,457114,,,,
data[166].address.line1,value_change,,,H.NO: 3/157/2,"H NO: 3, STATION ROAD",,,,
data[166].address.line3,value_change,,,NEAR HINDI PRACHAR MANDLI,SHREENATH COLONY,,,,
data[166].address.line2,value_change,,,MAIN ROAD,BEHIND AMBIKA AUTO PARTS,,,,
data[166].address.city,value_change,,,ALUR,ALOT,,,,
data[166].district_id,value_change,,,4,219,,,,
data[166].sub_zone,value_change,,,KTH,IOP,,,,
data[166].district,value_change,,,Kurnool,Ratlam,,,,
data[166].zone,value_change,,,KARNATAKA HUBBALLI,INDORE,,,,
data[166].name,value_change,,,ALUR,ALOT SHREENATH COLONY,,,,
data[166].branch_code,value_change,,,01808,05631,,,,
data[167].section,value_change,,,00455,00470,,,,
data[167].email,value_change,,,aluva@bkivv.org,,,,,
data[167].mobile,value_change,,,9847092237,9739552973,,,,
data[167].coords[0],value_change,,,10.1034474000,12.9772728000,,,,
data[167].coords[1],value_change,,,76.3601690000,75.9932809000,,,,
data[167].state_id,value_change,,,10,9,,,,
data[167].state,value_change,,,KERALA,KARNATAKA,,,,
data[167].address.pincode,value_change,,,683101,573213,,,,
data[167].address.line1,value_change,,,"SHREYAS, H NO: XI/40","H NO: 297, SHIV JYOTHI BHAWAN",,,,
data[167].address.line3,value_change,,,,"BEHIND OLD COURT CIRCLE RD, RAJAPPA EXTENTION",,,,
data[167].address.line2,value_change,,,BYPASS BRIDGE ROAD,NEAR KANNADA SAHITHYA PARISHAT BHAWAN,,,,
data[167].address.city,value_change,,,ALUVA,ALUR,,,,
data[167].district_id,value_change,,,198,177,,,,
data[167].district,value_change,,,Ernakulam,Hassan,,,,
data[167].contact,value_change,,,"0484-2623328, 2061411",08170-218100,,,,
data[167].name,value_change,,,ALUVA,ALUR,,,,
data[167].branch_code,value_change,,,00455,04031,,,,
data[168].section,value_change,,,00799,01808,,,,
data[168].mobile,value_change,,,"9461041211, 9460594565","9491450809, 9491459583",,,,
data[168].coords[0],value_change,,,27.5668417000,15.3924356000,,,,
data[168].coords[1],value_change,,,76.6029525000,77.2264907000,,,,
data[168].state_id,value_change,,,19,1,,,,
data[168].state,value_change,,,RAJASTHAN,ANDHRA PRADESH,,,,
data[168].address.pincode,value_change,,,301001,518395,,,,
data[168].address.line1,value_change,,,"H NO: 143, NEAR HOPE CIRCLE",H.NO: 3/157/2,,,,
data[168].address.line3,value_change,,,NEAR HANUMAN MANDIR,NEAR HINDI PRACHAR MANDLI,,,,
data[168].address.line2,value_change,,,"BAJAJA BAZAR, TRIPOLIA ROAD",MAIN ROAD,,,,
data[168].address.city,value_change,,,ALWAR,ALUR,,,,
data[168].district_id,value_change,,,388,4,,,,
data[168].sub_zone,value_change,,,JAIPUR RP,KTH,,,,
data[168].district,value_change,,,Alwar,Kurnool,,,,
data[168].zone,value_change,,,RAJASTHAN,KARNATAKA HUBBALLI,,,,
data[168].name,value_change,,,ALWAR BAJAJA BAZAR,ALUR,,,,
data[168].branch_code,value_change,,,02380,01808,,,,
data[169].section,value_change,,,00799,00455,,,,
data[169].email,value_change,,,alwar@bkivv.org,aluva@bkivv.org,,,,
data[169].mobile,value_change,,,"9460472870, 9414334511",9847092237,,,,
data[169].coords[0],value_change,,,27.5872483000,10.1034474000,,,,
data[169].coords[1],value_change,,,76.6203983000,76.3601690000,,,,
data[169].state_id,value_change,,,19,10,,,,
data[169].state,value_change,,,RAJASTHAN,KERALA,,,,
data[169].address.pincode,value_change,,,301001,683101,,,,
data[169].address.line1,value_change,,,"H NO: 4, 'SHIV SMRUTI LOK'","SHREYAS, H NO: XI/40",,,,
data[169].address.line3,value_change,,,TIJARA ROAD,,,,,
data[169].address.line2,value_change,,,UNDER RAILWAY OVER BRIDGE,BYPASS BRIDGE ROAD,,,,
data[169].address.city,value_change,,,ALWAR,ALUVA,,,,
data[169].district_id,value_change,,,388,198,,,,
data[169].sub_zone,value_change,,,JAIPUR RP,KTM,,,,
data[169].district,value_change,,,Alwar,Ernakulam,,,,
data[169].zone,value_change,,,RAJASTHAN,KARNATAKA MYSURU,,,,
data[169].contact,value_change,,,0144-2732704,"0484-2623328, 2061411",,,,
data[169].name,value_change,,,ALWAR TIJARA ROAD,ALUVA,,,,
data[169].branch_code,value_change,,,00799,00455,,,,
data[170].mobile,value_change,,,"9462636098, 9530354100","9461041211, 9460594565",,,,
data[170].coords[0],value_change,,,27.5766420000,27.5668417000,,,,
data[170].coords[1],value_change,,,76.6315480000,76.6029525000,,,,
data[170].address.line1,value_change,,,"H NO: A-23, SHIV DARSHAN BHAWAN","H NO: 143, NEAR HOPE CIRCLE",,,,
data[170].address.line3,value_change,,,"RANJEET NAGAR, DAUDPUR",NEAR HANUMAN MANDIR,,,,
data[170].address.line2,value_change,,,"OPP: PARK, NEAR 60 FEET ROAD","BAJAJA BAZAR, TRIPOLIA ROAD",,,,
data[170].name,value_change,,,ALWAR RANJEET NAGAR,ALWAR BAJAJA BAZAR,,,,
data[170].branch_code,value_change,,,04205,02380,,,,
data[171].email,value_change,,,aravalivihar.awr@bkivv.org,alwar@bkivv.org,,,,
data[171].mobile,value_change,,,"9461615999, 9530354100","9460472870, 9414334511",,,,
